genotype	P368.Earheight	P368.Earleafwidth	P368.Earleaflength	P368.Tasselmainaxislength	P368.Tasselbranchnumber	P368.Leafnumberaboveear	P368.Earlength	P368.Eardiameter	P368.Cobdiameter	P368.Kernernumberperrow	P368.100grainweight	P368.cobweight	P368.Kernelwidth	P368.Silkingtime	P368.Pollenshed	P368.Headingdate
CIMBL120	55.93752323	7.905815804	74.19995875	33.42778561	6.973250696	6.383208967	13.10963805	3.682057131	2.347062302	20.33857543	24.92142397	16.19740559	9.796503141	73.9533	72.248	68.7097
CIMBL121	78.3323614	8.369609216	79.45461164	33.57638206	10.97936286	5.759897705	13.43475823	3.50989436	2.295333267	22.50594892	21.79857372	19.37213178	8.839062344	74.2745	71.2463	69.4907
CIMBL122	80.5788119	8.249285454	64.24796464	29.61706843	11.94770187	5.491396497	12.41093035	3.490562524	2.339247124	19.20777188	22.26667855	16.65243539	8.858419623	70.527	68.2412	65.809
CIMBL123	61.05455479	8.675887884	74.26820099	37.03437244	13.62277216	5.697662326	9.488740187	3.165204068	2.022918496	18.17976865	17.88358323	10.23675356	7.629976921	69.7775	67.9073	64.9165
CIMBL124	85.62518301	8.892470656	70.87883614	31.36794424	17.02367245	6.058490746	11.77625612	3.47633721	2.164336	22.00908069	21.33576644	15.344999	7.717829187	73.3109	71.6915	69.4907
CIMBL125	76.31114111	8.901221476	83.52867368	32.23901402	13.95856714	6.133993887	13.65445316	3.648499981	2.437495074	21.61929613	19.99735153	20.40702676	7.192204612	71.2765	70.022	68.375
CIMBL126	79.21109043	8.253660863	65.17378443	31.9742625	14.7316765	6.434912206	11.8547944	3.647770477	2.404001455	18.86510414	21.82440379	14.7637044	7.542124655	72.24015	72.8045	68.7097
CIMBL127	64.18492344	9.275318991	59.95780215	29.73319686	16.87920252	6.001589827	14.87321165	3.47633721	2.210482765	25.81269264	20.49391933	16.66196481	7.449805325	74.7028	72.248	69.937
CIMBL128	77.64938393	8.56869035	87.70054961	39.70898556	13.38068741	7.132085237	13.79065694	3.517554145	2.299426932	20.20150834	24.64276153	24.73100096	8.103485744	78.7715	76.2548	71.4989
CIMBL129	65.7870389	8.524936255	69.16595579	33.44025115	12.25616469	5.262972137	12.85615751	3.565518984	2.202853663	23.36690162	20.56773346	17.12652402	7.856308182	72.13307	70.5785	68.7097
CIMBL13	67.03033172	10.03226484	83.90173129	28.87107643	11.45181859	6.731863873	11.66180957	4.219518662	2.524950636	20.25076683	27.38181484	21.2503804	8.255365933	78.5573	76.7	73.5072
CIMBL133	68.1557099	7.960508424	64.11148015	28.39452371	11.6626666	4.585085234	11.41487389	3.398827488	2.131028456	21.65142123	20.63422718	16.37672325	8.314926791	72.6684	71.8028	69.156
CIMBL134	59.48975689	7.934255966	68.2515097	27.58162469	10.32339128	6.409334149	10.82424477	3.446792328	2.142006921	18.80085393	23.63010486	12.54689998	8.294080491	69.9916	68.6864	64.247
CIMBL136	71.67150926	7.877375642	76.05387308	30.29998884	12.63881479	5.705322065	13.73989008	3.455181615	2.192061274	20.3171587	24.33408426	15.53415798	8.859908644	72.4543	71.6915	69.6023
CIMBL137	45.147009	7.754605836	65.55663075	30.16201974	4.707610749	5.219886105	10.55625941	3.412323299	2.151682855	17.63364193	20.73745019	14.22494972	7.208583849	76.3834	74.7142	71.7638
CIMBL138	47.44005124	7.471771949	75.47976652	28.17451893	6.274328593	6.208949905	12.21506142	3.655716646	2.229244645	22.61501989	20.81007462	17.72116469	8.465317958	75.9876	72.4706	67.7056
CIMBL139	69.76456018	8.128961691	68.20601487	23.99591966	9.932932006	5.625852272	12.17576466	4.140169432	2.654480114	19.91990978	24.68363382	18.12425426	8.509988602	73.7391	72.6932	67.4825
CIMBL14	58.10735129	8.697764932	72.97159833	28.31323381	7.742455469	5.769335598	11.323069	3.678227239	2.237463736	20.71022894	22.51027481	15.69329929	8.023078585	74.0604	72.5819	69.2676
