id,e2m,m2y,e2m2y,padj,coef,file,method,tissue,trait
GRMZM2G024563,2.80565170249006e-20,0.0984835603685654,0.0984835603685654,1,0.217051841912736,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G097827,1.32746129480848e-19,0.985836542335462,0.985836542335462,1,0.00233636457302317,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G030880,1.46733578479288e-27,0.367382518848572,0.367382518848572,1,0.138837431786086,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G114444,1.45243509242546e-25,0.936860187787257,0.936860187787257,1,-0.0123091544287714,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G081214,7.28883981356137e-31,0.503085498022835,0.503085498022835,1,0.084230481025265,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM5G896260,2.35096523364158e-24,0.455494789669763,0.455494789669763,1,0.085659548430789,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G071664,8.73753281807859e-24,0.233587261997862,0.233587261997862,1,0.156635233300477,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G178079,3.28750124178123e-27,0.00047461038216734,0.00047461038216734,0.0094922076433468,-0.439827866699028,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G119642,4.07145444775414e-37,0.00944961984545944,0.00944961984545944,0.179542777063729,0.323976271350953,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G070138,1.71056197865379e-25,0.586625896666702,0.586625896666702,1,-0.0950609999158975,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G420882,1.10949345006083e-26,0.204622404949854,0.204622404949854,1,0.162411581697357,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G034389,6.89596151142888e-27,0.409466487746838,0.409466487746838,1,0.109467703958959,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G347488,8.60256924937008e-35,0.0395130124458551,0.0395130124458551,0.671721211579538,0.262574100864226,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G136266,7.04991873298392e-31,0.329254633011274,0.329254633011274,1,0.138138618383768,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G051135,2.30278666445558e-23,0.168901378767627,0.168901378767627,1,0.193532696703898,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G118919,3.61164673593899e-31,9.10585183282464e-05,9.10585183282464e-05,0.00191222888489317,-0.462128002342107,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G104076,4.35647564475573e-31,0.0428856342281454,0.0428856342281454,0.686170147650326,0.274819469582304,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G035749,1.20520008239966e-30,0.743272592379777,0.743272592379777,1,0.0455655869953582,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G443291,1.00569521889095e-26,0.397914832732102,0.397914832732102,1,0.118600497934363,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G179679,2.92792765537667e-25,0.103832440046084,0.103832440046084,1,0.224419560375573,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G031354,1.4137680064991e-39,0.0145958411011258,0.0145958411011258,0.262725139820264,0.284725421368053,res.eq_mediator_P368.Pollenshed_ts_P368.Kern.csv,res.eq,Kern,Pollenshed
GRMZM2G024563,2.80565170249006e-20,0.0207721401084879,0.0207721401084879,0.124632840650928,0.286960151424527,res.eq_mediator_P368.Silkingtime_ts_P368.Kern.csv,res.eq,Kern,Silkingtime
GRMZM2G097827,1.32746129480848e-19,0.207641115454402,0.207641115454402,0.830564461817607,0.1780514440945,res.eq_mediator_P368.Silkingtime_ts_P368.Kern.csv,res.eq,Kern,Silkingtime
GRMZM2G030880,1.46733578479288e-27,0.000782266820369415,0.000782266820369415,0.00782266820369415,0.438712992289684,res.eq_mediator_P368.Silkingtime_ts_P368.Kern.csv,res.eq,Kern,Silkingtime
GRMZM2G178079,3.28750124178123e-27,0.0114283524535226,0.0114283524535226,0.0799984671746581,-0.311935709267641,res.eq_mediator_P368.Silkingtime_ts_P368.Kern.csv,res.eq,Kern,Silkingtime
GRMZM2G420882,1.10949345006083e-26,0.00455478485974203,0.00455478485974203,0.0364382788779363,0.340886379702698,res.eq_mediator_P368.Silkingtime_ts_P368.Kern.csv,res.eq,Kern,Silkingtime
