OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC148152.3_FG005,AC148152.3_FG008,AC149475.2_FG002,GRMZM2G171650
KAKRNA26_L3Base_A659_CTCATA,L3Base,L3Base,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,0.79488,1.05983,3.44446,12.45304
KAKRNA17_Kern_A659_GACATC,Kern,Kern,A659,A659,282set_A659,A659,A659:8042MABXX:2:D11,NSL81599,2.62782,0.29198,0,10.80326
10344823_LMAD8_A661_GTCAGG,LMAD8,LMAD,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,0,126.32765,0,25.53431
10344826_LMAN8_A661_ACCGTG,LMAN8,LMAN,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,0,58.05618,1.56909,17.25995
KAKRNA3_GShoot_A661_AGACCA,GShoot,GShoot,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,57.15094,3.86736,3.43765,7.73471
KAKRNA4_10346258_GRoot_A661_AGACCA,GRoot,GRoot,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,13.60565,0.30235,3.32583,4.23287
KAKRNA23_10346932_L3Base_A661_GCGAAT,L3Base,L3Base,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,5.59696,14.43427,0.58915,6.77527
KAKRNA24_L3Tip_A661_GCGAAT,L3Tip,L3Tip,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,0,130.45265,0,12.35867
KAKRNA17_Kern_A661_GCTCGA,Kern,Kern,A661,A661,282set_A661,A661,A661:8042MABXX:4:G3,PI607521,9.64487,0,0,11.78818
10344823_LMAD8_A679_TAGGCT,LMAD8,LMAD,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0,152.00502,0,32.54192
10344826_LMAN8_A679_ATTGGT,LMAN8,LMAN,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,0,66.26766,0.61932,23.53431
KAKRNA3_GShoot_A679_AGATAG,GShoot,GShoot,A679,A679,282set_A679,A679,A679:8042MABXX:3:B1,PI587142,68.73114,3.40253,2.72203,6.12456
