RawPhenotypeNames,TissueWODate,AC148152.3_FG001,AC148152.3_FG005,AC148152.3_FG008
CML341,GRoot,0,1.8976,0
CML341,L3Tip,0,0.84274,85.95989
CML341,L3Base,0,0.44232,6.6348
CML38,LMAD,0,0,71.23592
CML38,LMAN,0,0,54.25612
CML38,GShoot,0,81.63164,10.3809
CML38,GRoot,0,6.04219,0
CML38,L3Tip,0,0,165.42684
CML38,L3Base,0.45832,0,6.64568
CML38,Kern,0,0,0.1892
CML45,GShoot,0.28313,22.36716,5.09632
CML45,GRoot,0,70.34514,0.34824
CML45,L3Base,0.69056,11.39417,15.19223
CML45,L3Mid,0,0,58.19942
CML45,L3Tip,0,2.4537,58.8888
CML5,GShoot,0.77373,13.54021,11.6059
CML5,L3Tip,0,12.00825,79.25443
CML5,L3Base,0.45896,0.91792,14.45718
CML52,GShoot,0,13.561,6.7805
CML61,GShoot,0,34.775,12.81184
CML61,L3Tip,0,0,164.20281
CML61,L3Base,0,3.34705,25.93965
CML69,LMAD,0,0,163.92543
CML69,GShoot,0,22.00466,12.52573
CML69,GRoot,2.21065,3.68442,0
CML69,LMAN,1.06015,0,75.27042
CML69,L3Base,0,0.41786,10.86424
CML69,L3Mid,1.46249,1.46249,156.48674
CML69,L3Tip,0,0,154.63367
CML69,Kern,0,0,0
CML77,LMAN,0,0,36.08633
CML77,LMAD,0,0,41.07049
CML77,GShoot,0,23.76754,8.60159
CML77,GRoot,0,14.67102,0
CML77,L3Tip,0,0,117.85033
CML77,L3Base,0,4.29628,28.16452
CML77,Kern,0,0.35952,0
CML91,LMAD,0,0,66.77725
CML91,LMAN,0,0.69011,37.26577
CML91,GShoot,0,48.99135,13.65333
CML91,GRoot,0.57491,27.02078,0
CML91,L3Tip,0,4.27293,77.76731
CML91,L3Base,0,9.08658,25.34679
CML91,Kern,0,0.34247,0
CML92,LMAN,0.84314,0,37.51975
CML92,GShoot,0.44202,8.61937,4.86221
CML92,GRoot,5.83421,15.44349,0
CML92,L3Base,0,0,24.83538
CML92,L3Tip,0.70284,0,130.02613
CML92,Kern,0,0,0
CMV3,LMAD,0,0,34.36155
CMV3,LMAN,0,0,29.3038
CMV3,GShoot,0,38.11276,7.71904
CMV3,GRoot,0,1.95058,0.27865
CMV3,L3Tip,0,0,115.03286
CMV3,Kern,0,1.79114,0
CO106,LMAD,1.99651,0,109.30879
CO106,LMAN,0,0,52.48778
CO106,GShoot,0,4.63987,2.4746
CO106,GRoot,0.61776,14.20859,0
CO106,L3Base,0,0,6.24995
CO106,L3Tip,0,0,83.71352
