OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,AC192244.3_FG007,GRMZM2G000231,GRMZM2G003124,GRMZM2G020148,GRMZM2G037048,GRMZM2G054225,GRMZM2G055802,GRMZM2G056697,GRMZM2G104316,GRMZM2G106950,GRMZM2G140559,GRMZM2G353905,GRMZM2G398500,GRMZM2G402493,GRMZM2G468111,GRMZM2G472671
KAKRNA20_10346930_L3Base_A6_ATGGCG,L3Base,L3Base,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,4.64697,6.97045,12.39191,113.0762,12.39191,9.29393,2.32348,10.84292,6.97045,27.10731,19.36236,2.32348,5.42146,48.01866,3.87247,0
KAKRNA21_10346931_L3Tip_A6_ATGGCG,L3Tip,L3Tip,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,4.84596,1.38456,15.92245,103.84207,23.53754,8.99965,16.61473,8.99965,34.61402,1.38456,31.8449,3.4614,16.61473,20.07613,6.9228,1.38456
KAKRNA16_Kern_A6_ACAGAT,Kern,Kern,A6,A6,282set_A6,A6,A6:8042MABXX:3:C5,Ames27062,0,8.18378,6.03015,2.15363,30.58149,30.58149,8.18378,1.29218,13.35248,0,11.62958,9.47596,0,49.10268,6.46088,0.43073
10344823_LMAD8_A619_AGACCA,LMAD8,LMAD,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,2.29935,0,5.51843,22.99345,35.40991,5.9783,8.73751,5.05856,10.57699,1.37961,42.30795,1.83948,26.21253,10.11712,22.53358,0.45987
10344826_LMAN8_A619_GAGTCC,LMAN8,LMAN,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,7.5997,1.26662,2.53323,3.79985,49.39805,12.66617,15.1994,2.53323,6.33308,0,34.19865,2.53323,34.19865,6.33308,5.06647,1.26662
KAKRNA5_GShoot_A619_ATACTG,GShoot,GShoot,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0.33199,1.65996,8.96377,58.43052,24.23539,28.88327,19.5875,2.98792,8.96377,158.35998,17.26356,2.32394,15.6036,19.25551,0.66398,1.99195
KAKRNA6_10346261_GRoot_A619_ATACTG,GRoot,GRoot,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,3.37414,0.84353,6.74828,10.96595,16.8707,14.34009,22.77544,0,16.02716,0.84353,13.49656,2.5306,7.59181,11.80949,265.71346,0
KAKRNA20_10346930_L3Base_A619_AAGCTC,L3Base,L3Base,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,2.76313,0.50239,9.79654,90.93196,29.6408,12.81086,8.79176,3.01432,16.57875,82.89377,18.08591,2.00955,8.28938,22.10501,0,12.05728
KAKRNA18_Kern_A619_ACAACG,Kern,Kern,A619,A619,282set_A619,A619,A619:8042MABXX:2:D3,PI587139,0.56112,2.24449,7.85571,15.71142,48.81764,29.17836,9.53908,1.12224,11.22245,0,5.0501,8.41683,3.36673,6.17234,34.78958,0
10343262_LMAN8_A632_AGGCAT,LMAN8,LMAN,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,4.5538,0,9.10759,0,27.32278,21.25105,0,9.10759,10.62553,1.51793,45.53797,0,28.84071,24.28692,7.58966,1.51793
10344823_LMAD8_A632_GCATGG,LMAD8,LMAD,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,3.19241,0,5.58672,0.7981,19.95258,6.38482,0.7981,5.58672,15.96206,0.7981,39.10705,0,23.94309,18.35637,11.97155,0
KAKRNA3_GShoot_A632_ACAACG,GShoot,GShoot,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,1.0872,7.06678,11.41557,14.13356,32.07232,3.26159,1.0872,13.58997,88.06298,15.76436,0,11.41557,36.42111,2.17439,8.15398
KAKRNA4_10346258_GRoot_A632_ACAACG,GRoot,GRoot,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,4.91261,3.00215,5.18553,2.72923,19.65044,21.83383,2.45631,0.54585,12.55445,1.63754,16.37537,1.09169,5.73138,25.38182,80.23932,2.18338
KAKRNA23_10346932_L3Base_A632_ATATCC,L3Base,L3Base,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,0,1.2921,9.69072,10.33677,14.85911,22.61169,1.2921,2.58419,9.69072,38.7629,21.31959,0,8.39863,21.96564,3.23024,12.92097
KAKRNA24_L3Tip_A632_ATATCC,L3Tip,L3Tip,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,1.46741,1.46741,5.86964,28.61448,14.67409,5.13593,4.40223,1.46741,11.73928,6.60334,23.47855,0,21.27744,59.43008,11.73928,112.99052
KAKRNA16_Kern_A632_CTAGTC,Kern,Kern,A632,A632,282set_A632,A632,A632:8042MABXX:2:F4,PI587140,1.32319,1.32319,2.20532,0.44106,18.52465,33.96186,1.32319,0.88213,22.93528,0,8.82126,4.85169,8.82126,15.87827,5.73382,0
10343262_LMAN8_A634_TTGGTA,LMAN8,LMAN,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,2.898,2.898,5.79601,1.932,12.55802,36.70805,0.966,4.83001,19.32003,2.898,22.21803,0.966,19.32003,17.38803,1.932,3.86401
KAKRNA5_GShoot_A634_ACGTCT,GShoot,GShoot,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,0.29726,11.59331,10.40425,31.80729,12.78237,30.61823,11.59331,0.59453,8.91793,57.96655,19.02492,0.29726,2.67538,31.80729,0.29726,8.91793
KAKRNA6_10346261_GRoot_A634_ACGTCT,GRoot,GRoot,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,3.27131,7.63306,2.18088,3.27131,20.71832,21.80876,2.18088,1.09044,8.7235,0,9.81394,1.09044,1.09044,19.62788,1.09044,1.09044
KAKRNA20_10346930_L3Base_A634_GGTGAG,L3Base,L3Base,A634,A634,282set_A634,A634,A634:8042MABXX:4:C1,Ames19308,0,1.17344,14.66797,9.3875,8.80078,16.72149,2.05352,1.4668,10.26758,71.57971,15.25469,0.88008,4.98711,38.43009,0,4.10703
